Rank,Team,Score
91,Iraq,372.00.00
92,Trinidad and Tobago,366.00.00
93,Estonia,364.00.00
94,Faroe Islands,364.00.00
95,Georgia,362.00.00
96,Palestine,357.00.00
97,India,354.00.00
98,Armenia,347.00.00
99,Israel,347.00.00
100,Libya,341.00.00
101,Qatar,339.00.00
102,Vietnam,334.00.00
103,Sierra Leone,332.00.00
104,Guinea-Bissau,330.00.00
105,Mauritania,314.00.00
106,Mozambique,311.00.00
107,Namibia,308.00.00
108,Haiti,302.00.00
109,Niger,299.00.00
110,Korea DPR,297.00.00
111,Philippines,289.00.00
112,Kenya,289.00.00
113,Zimbabwe,287.00.00
114,Madagascar,284.00.00
115,Central African Republic,283.00.00
116,Bahrain,281.00.00
117,Kazakhstan,273.00.00
118,Jordan,272.00.00
119,Malawi,269.00.00
120,Tajikistan,266.00.00
121,Chinese Taipei,263.00.00
122,Thailand,253.00.00
123,Rwanda,252.00.00
124,Yemen,251.00.00
125,Antigua and Barbuda,251.00.00
126,Azerbaijan,245.00.00
127,Sudan,245.00.00
128,Turkmenistan,242.00.00
129,Togo,242.00.00
130,St. Kitts and Nevis,241.00.00
131,Eswatini,240.00.00
132,Andorra,230.00.00
133,New Zealand,229.00.00
134,Lithuania,229.00.00
135,Myanmar,227.00.00
136,Nicaragua,224.00.00
137,Tanzania,223.00.00
138,Angola,221.00.00
139,Latvia,217.00.00
140,Afghanistan,199.00.00
141,Guatemala,198.00.00
142,Botswana,195.00.00
143,Comoros,195.00.00
144,Hong Kong,194.00.00
145,Equatorial Guinea,190.00.00
146,Ethiopia,188.00.00
147,Burundi,188.00.00
148,Maldives,183.00.00
149,Dominican Republic,175.00.00
150,Lesotho,172.00.00
151,Liberia,167.00.00
152,Kosovo,164.00.00
153,Solomon Islands,162.00.00
154,Suriname,140.00.00
155,Vanuatu,136.00.00
156,New Caledonia,135.00.00
157,South Sudan,130.00.00
158,Barbados,129.00.00
159,Puerto Rico,128.00.00
160,Kuwait,126.00.00
161,Mauritius,124.00.00
162,Tahiti,117.00.00
163,Grenada,113.00.00
164,Indonesia,111.00.00
165,Guyana,111.00.00
166,Nepal,111.00.00
167,Fiji,110.00.00
168,Chad,108.00.00
169,Belize,107.00.00
170,Cambodia,105.00.00
171,Malaysia,104.00.00
172,Singapore,102.00.00
173,Moldova,98.00.00
174,St. Lucia,95.00.00
175,Gambia,94.00.00
176,St. Vincent / Grenadines,91.00.00
177,Dominica,86.00.00
178,Bermuda,82.00.00
179,Laos,80.00.00
180,Papua New Guinea,78.00.00
181,Liechtenstein,77.00.00
182,Cuba,75.00.00
183,Aruba,75.00.00
184,Bhutan,68.00.00
185,Malta,62.00.00
186,Macau,60.00.00
187,São Tomé e Príncipe,59.00.00
188,Mongolia,51.00.00
189,Guam,45.00.00
190,Timor-Leste,44.00.00
191,American Samoa,38.00.00
192,Cook Islands,38.00.00
193,Samoa,38.00.00
194,Seychelles,37.00.00
195,Brunei,36.00.00
196,Gibraltar,34.00.00
197,Bangladesh,33.00.00
198,Djibouti,27.00.00
199,US Virgin Islands,18.00
200,Montserrat,17.00
201,Sri Lanka,17.00
202,Turks and Caicos Islands,13.00
203,Pakistan,10.00
204,Cayman Islands,8.00
205,San Marino,8.00
206,British Virgin Islands,4.00
207,Anguilla,0.00
208,Bahamas,0.00
209,Eritrea,0.00
210,Somalia,0.00
211,Tonga,0.00
